img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
10_fear,b,False,010,Test_images/test_10,0,3,8,0,0,4,0,fear,34.627,05/07/2026 20:10:51
17_fear,o,True,010,Test_images/test_10,0,2,6,0,3,3,4,fear,41.908,05/07/2026 20:11:33
18_happy,l,True,010,Test_images/test_10,0,0,0,7,0,0,4,happy,15.919,05/07/2026 20:11:49
19_neutral,g,True,010,Test_images/test_10,4,0,0,0,2,0,8,neutral,18.687,05/07/2026 20:12:08
20_sad,b,True,010,Test_images/test_10,1,9,0,0,4,0,0,disgust,16.744,05/07/2026 20:12:24
27_sad,o,False,010,Test_images/test_10,0,0,3,0,10,0,0,sad,33.741,05/07/2026 20:12:58
28_surprise,l,True,010,Test_images/test_10,0,0,0,1,0,8,0,surprise,26.044,05/07/2026 20:13:24
29_angry,g,False,010,Test_images/test_10,7,2,0,0,0,0,0,angry,16.344,05/07/2026 20:13:40
30_disgust,b,False,010,Test_images/test_10,0,7,0,4,0,0,5,disgust,20.72,05/07/2026 20:14:01
7_surprise,o,True,010,Test_images/test_10,0,0,0,0,0,3,8,neutral,13.551,05/07/2026 20:14:15
8_angry,l,False,010,Test_images/test_10,8,1,3,0,6,0,0,angry,20.073,05/07/2026 20:14:35
9_disgust,g,False,010,Test_images/test_10,0,5,0,0,0,3,0,disgust,13.499,05/07/2026 20:14:48
