img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
10_fear,g,False,002,Test_images/test_2,1,6,4,0,3,2,0,disgust,119.296,05/07/2026 15:15:40
11_happy,b,False,002,Test_images/test_2,0,0,1,10,1,1,0,happy,36.102,05/07/2026 15:16:16
18_happy,o,True,002,Test_images/test_2,2,1,0,7,2,0,6,happy,40.063,05/07/2026 15:16:56
19_neutral,l,True,002,Test_images/test_2,6,3,2,1,2,0,4,angry,41.966,05/07/2026 15:17:38
1_angry,g,False,002,Test_images/test_2,8,4,3,0,5,2,0,angry,29.04,05/07/2026 15:18:07
20_sad,g,True,002,Test_images/test_2,2,5,1,0,4,0,8,neutral,31.089,05/07/2026 15:18:38
21_surprise,b,False,002,Test_images/test_2,0,2,0,3,0,9,0,surprise,31.382,05/07/2026 15:19:10
28_surprise,o,True,002,Test_images/test_2,3,0,4,1,0,8,2,surprise,26.7,05/07/2026 15:19:36
29_angry,l,False,002,Test_images/test_2,10,5,2,0,0,0,0,angry,35.572,05/07/2026 15:20:12
2_disgust,b,False,002,Test_images/test_2,4,9,0,0,5,0,3,disgust,26.543,05/07/2026 15:20:39
30_disgust,g,False,002,Test_images/test_2,3,7,2,4,0,1,0,disgust,33.829,05/07/2026 15:21:12
31_fear,b,False,002,Test_images/test_2,4,1,6,0,9,0,7,sad,28.548,05/07/2026 15:21:41
4_happy,o,True,002,Test_images/test_2,0,6,2,0,8,0,7,sad,21.715,05/07/2026 15:22:03
8_angry,o,False,002,Test_images/test_2,7,1,4,0,5,0,0,angry,21.577,05/07/2026 15:22:24
9_disgust,l,False,002,Test_images/test_2,3,5,4,0,0,8,0,surprise,36.939,05/07/2026 15:23:01
