img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
10_fear,l,False,012,Test_images/test_2,0,7,8,0,0,3,0,fear,36.786,06/07/2026 11:02:26
11_happy,g,False,012,Test_images/test_2,1,0,0,9,0,0,0,happy,32.252,06/07/2026 11:02:58
12_neutral,b,True,012,Test_images/test_2,6,1,0,0,0,0,3,angry,52.884,06/07/2026 11:03:51
19_neutral,o,True,012,Test_images/test_2,5,0,3,0,2,0,3,angry,26.063,06/07/2026 11:04:17
1_angry,g,False,012,Test_images/test_2,7,0,1,0,4,0,0,angry,39.7,06/07/2026 11:04:57
20_sad,l,True,012,Test_images/test_2,5,7,0,0,2,0,0,disgust,61.017,06/07/2026 11:05:58
21_surprise,g,False,012,Test_images/test_2,0,0,0,1,0,9,0,surprise,12.304,06/07/2026 11:06:10
22_angry,b,False,012,Test_images/test_2,10,0,0,0,0,0,0,angry,6.692,06/07/2026 11:06:17
29_angry,o,False,012,Test_images/test_2,9,0,0,0,0,0,0,angry,13.182,06/07/2026 11:06:30
2_disgust,b,False,012,Test_images/test_2,0,8,2,0,0,0,0,disgust,15.326,06/07/2026 11:06:46
30_disgust,l,False,012,Test_images/test_2,0,3,1,0,8,0,0,sad,12.356,06/07/2026 11:06:58
31_fear,g,False,012,Test_images/test_2,0,0,0,0,10,0,0,sad,10.581,06/07/2026 11:07:08
32_happy,b,False,012,Test_images/test_2,0,0,0,5,0,0,5,happy,24.57,06/07/2026 11:07:33
9_disgust,o,False,012,Test_images/test_2,6,7,0,0,0,0,0,disgust,32.388,06/07/2026 11:08:05
