img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
15_angry,o,True,008,Test_images/test_8,7,0,0,0,0,0,3,angry,108.36,05/07/2026 18:44:43
16_disgust,l,False,008,Test_images/test_8,0,10,0,0,0,0,0,disgust,30.969,05/07/2026 18:45:14
17_fear,g,True,008,Test_images/test_8,0,0,7,0,0,3,0,fear,41.891,05/07/2026 18:45:56
18_happy,b,True,008,Test_images/test_8,0,0,0,8,0,0,4,happy,31.684,05/07/2026 18:46:28
25_happy,o,False,008,Test_images/test_8,0,0,0,6,0,0,4,happy,25.541,05/07/2026 18:46:53
26_neutral,l,False,008,Test_images/test_8,0,0,0,0,0,0,8,neutral,12.874,05/07/2026 18:47:06
27_sad,g,False,008,Test_images/test_8,0,0,0,0,8,0,0,sad,23.51,05/07/2026 18:47:30
28_surprise,b,True,008,Test_images/test_8,0,0,0,0,0,7,0,surprise,15.488,05/07/2026 18:47:45
35_surprise,o,False,008,Test_images/test_8,0,0,0,0,0,10,0,surprise,6.06,05/07/2026 18:47:51
5_neutral,o,False,008,Test_images/test_8,0,0,0,0,0,0,7,neutral,8.362,05/07/2026 18:47:59
6_sad,l,False,008,Test_images/test_8,0,0,0,0,7,0,0,sad,16.092,05/07/2026 18:48:16
7_surprise,g,True,008,Test_images/test_8,0,0,0,0,0,6,0,surprise,24.823,05/07/2026 18:48:40
8_angry,b,False,008,Test_images/test_8,10,0,0,0,0,0,0,angry,9.813,05/07/2026 18:48:50
