img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
11_happy,o,False,004,Test_images/test_4,0,0,0,2,1,0,0,happy,27.421,05/07/2026 17:28:25
12_neutral,l,True,004,Test_images/test_4,0,0,0,0,0,0,1,neutral,10.072,05/07/2026 17:28:35
13_sad,g,False,004,Test_images/test_4,0,0,0,0,6,1,0,sad,12.19,05/07/2026 17:28:47
14_surprise,b,False,004,Test_images/test_4,0,0,1,0,0,2,0,surprise,44.342,05/07/2026 17:29:31
1_angry,o,False,004,Test_images/test_4,2,0,0,0,0,0,0,angry,9.4,05/07/2026 17:29:41
21_surprise,o,False,004,Test_images/test_4,0,0,0,0,0,3,0,surprise,9.25,05/07/2026 17:29:50
22_angry,l,False,004,Test_images/test_4,1,0,0,0,0,0,0,angry,10.451,05/07/2026 17:30:00
23_disgust,g,False,004,Test_images/test_4,0,7,0,0,0,0,0,disgust,6.169,05/07/2026 17:30:07
24_fear,b,False,004,Test_images/test_4,0,0,3,0,0,1,0,fear,8.393,05/07/2026 17:30:15
2_disgust,l,False,004,Test_images/test_4,0,5,0,0,0,0,0,disgust,17.782,05/07/2026 17:30:33
31_fear,o,False,004,Test_images/test_4,2,0,0,0,6,1,0,sad,17.045,05/07/2026 17:30:50
32_happy,l,False,004,Test_images/test_4,0,0,0,5,0,0,0,happy,5.712,05/07/2026 17:30:56
33_neutral,g,False,004,Test_images/test_4,1,0,0,0,0,0,1,angry,6.517,05/07/2026 17:31:02
34_sad,b,False,004,Test_images/test_4,0,2,0,0,5,3,0,sad,16.803,05/07/2026 17:31:19
3_fear,g,False,004,Test_images/test_4,0,0,0,0,0,3,0,surprise,7.905,05/07/2026 17:31:27
4_happy,b,True,004,Test_images/test_4,0,0,0,0,0,0,2,neutral,33.111,05/07/2026 17:32:00
