img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
14_surprise,o,False,017,Test_images/test_7,0,4,0,0,1,10,0,surprise,26.057,06/07/2026 21:01:06
15_angry,l,True,017,Test_images/test_7,10,3,0,0,0,0,0,angry,45.951,06/07/2026 21:01:52
16_disgust,g,False,017,Test_images/test_7,0,10,0,0,0,0,0,disgust,6.721,06/07/2026 21:01:58
17_fear,b,True,017,Test_images/test_7,0,3,10,0,0,0,0,fear,18.52,06/07/2026 21:02:17
24_fear,o,False,017,Test_images/test_7,0,6,0,0,8,4,0,sad,44.153,06/07/2026 21:03:01
25_happy,l,False,017,Test_images/test_7,0,0,0,5,0,0,8,neutral,30.289,06/07/2026 21:03:31
26_neutral,g,False,017,Test_images/test_7,0,0,0,0,1,0,10,neutral,23.226,06/07/2026 21:03:55
27_sad,b,False,017,Test_images/test_7,0,2,1,0,10,0,0,sad,25.084,06/07/2026 21:04:20
34_sad,o,False,017,Test_images/test_7,2,5,0,0,7,0,0,sad,34.558,06/07/2026 21:04:54
35_surprise,l,False,017,Test_images/test_7,0,0,0,0,0,10,0,surprise,13.821,06/07/2026 21:05:08
4_happy,o,True,017,Test_images/test_7,0,0,0,5,0,0,10,neutral,24.916,06/07/2026 21:05:33
5_neutral,l,False,017,Test_images/test_7,0,0,0,0,4,0,8,neutral,15.017,06/07/2026 21:05:48
6_sad,g,False,017,Test_images/test_7,0,0,7,0,5,0,0,fear,25.851,06/07/2026 21:06:14
7_surprise,b,True,017,Test_images/test_7,0,0,0,0,0,8,0,surprise,14.07,06/07/2026 21:06:28
