img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
10_fear,l,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,2,10,1,0,0,6,0,disgust,177.553,05/07/2026 16:57:23
11_happy,g,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,0,0,0,10,0,0,0,happy,12.233,05/07/2026 16:57:36
12_neutral,b,True,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,4,0,0,0,2,0,8,neutral,16.276,05/07/2026 16:57:52
19_neutral,o,True,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,2,0,0,0,0,0,8,neutral,16.926,05/07/2026 16:58:09
1_angry,l,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,8,1,1,0,6,0,0,angry,27.785,05/07/2026 16:58:37
20_sad,l,True,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,2,5,0,0,8,0,7,sad,26.521,05/07/2026 16:59:03
21_surprise,g,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,0,0,0,1,0,10,0,surprise,31.859,05/07/2026 16:59:35
22_angry,b,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,10,0,0,0,2,0,0,angry,46.244,05/07/2026 17:00:21
29_angry,o,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,9,3,0,0,0,0,0,angry,17.127,05/07/2026 17:00:38
2_disgust,g,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,2,9,0,0,0,3,0,disgust,16.611,05/07/2026 17:00:55
30_disgust,l,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,2,9,0,0,3,7,0,disgust,20.834,05/07/2026 17:01:16
31_fear,g,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,0,0,0,0,9,0,0,sad,17.795,05/07/2026 17:01:34
32_happy,b,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,0,0,0,8,0,0,7,happy,13.405,05/07/2026 17:01:47
3_fear,b,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,1,2,5,0,3,8,0,surprise,21.546,05/07/2026 17:02:09
9_disgust,o,False,3,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_3,3,8,0,0,0,2,0,disgust,21.166,05/07/2026 17:02:30
