img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
12_neutral,o,True,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,8,0,0,0,0,5,disgust,116.346,05/07/2026 17:35:27
13_sad,l,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,5,0,10,0,0,sad,15.78,05/07/2026 17:35:43
14_surprised,g,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,3,0,0,0,0,8,0,surprise,14.498,05/07/2026 17:35:58
15_angry,b,True,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,5,0,0,0,0,0,5,angry,20.639,05/07/2026 17:36:18
22_angry,o,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,10,5,0,0,0,0,0,angry,11.567,05/07/2026 17:36:30
23_disgust,l,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,8,0,0,0,5,0,disgust,9.582,05/07/2026 17:36:39
24_fear,g,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,2,4,0,6,3,0,sad,21.996,05/07/2026 17:37:01
25_happy,b,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,0,8,0,0,3,happy,22.835,05/07/2026 17:37:24
2_disgust,o,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,2,8,0,0,0,1,0,disgust,17.461,05/07/2026 17:37:42
32_happy,o,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,0,8,0,0,5,happy,10.595,05/07/2026 17:37:52
33_neutral,l,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,0,0,0,0,10,neutral,5.543,05/07/2026 17:37:58
34_sad,g,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,10,0,0,4,0,0,disgust,13.165,05/07/2026 17:38:11
35_surprised,b,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,0,0,0,10,0,surprise,6.395,05/07/2026 17:38:17
3_fear,l,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,10,0,0,4,0,fear,7.541,05/07/2026 17:38:25
4_happy,g,True,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,9,0,0,5,0,0,disgust,12.841,05/07/2026 17:38:38
5_neutral,b,False,5,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_5,0,0,0,0,5,0,0,sad,16.039,05/07/2026 17:38:54
