img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
14_surprise,o,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,1,2,7,0,0,10,0,surprise,114.826,05/07/2026 18:31:25
15_angry,l,True,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,8,5,0,0,3,2,1,angry,47.446,05/07/2026 18:32:12
16_disgust,g,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,1,10,2,0,0,3,0,disgust,29.443,05/07/2026 18:32:42
17_fear,b,True,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,0,3,0,4,2,1,sad,52.925,05/07/2026 18:33:35
24_fear,o,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,1,7,0,2,1,0,fear,21.002,05/07/2026 18:33:56
25_happy,l,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,0,0,8,0,1,1,happy,74.86,05/07/2026 18:35:11
26_neutral,g,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,0,0,0,1,0,10,neutral,18.698,05/07/2026 18:35:29
27_sad,b,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,1,0,0,0,10,0,2,sad,23.275,05/07/2026 18:35:53
34_sad,o,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,2,3,1,0,10,0,0,sad,26.177,05/07/2026 18:36:19
35_surprise,l,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,0,2,0,0,10,0,surprise,17.483,05/07/2026 18:36:36
4_happy,o,True,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,0,0,9,0,1,0,happy,75.345,05/07/2026 18:37:52
5_neutral,l,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,2,1,0,8,0,4,sad,40.05,05/07/2026 18:38:32
6_sad,g,False,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,0,2,3,0,8,0,4,sad,82.854,05/07/2026 18:39:55
7_surprise,b,True,007,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_7,2,0,8,0,1,4,0,fear,27.106,05/07/2026 18:40:22
