img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
13_sad,o,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,3,0,0,0,10,0,0,sad,73.993,05/07/2026 18:11:03
14_surprise,l,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,2,0,0,9,0,surprise,29.402,05/07/2026 18:11:32
15_angry,g,True,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,8,0,0,0,0,0,0,angry,14.991,05/07/2026 18:11:47
16_disgust,b,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,9,0,0,0,0,0,disgust,16.005,05/07/2026 18:12:03
23_disgust,o,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,8,0,0,0,4,0,disgust,14.361,05/07/2026 18:12:18
24_fear,l,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,7,0,0,7,0,fear,13.678,05/07/2026 18:12:31
25_happy,g,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,3,0,0,5,neutral,15.086,05/07/2026 18:12:46
26_neutral,b,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,0,0,0,6,neutral,15.347,05/07/2026 18:13:02
33_neutral,o,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,0,0,0,6,neutral,10.888,05/07/2026 18:13:13
34_sad,l,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,2,0,0,0,9,2,0,sad,28.284,05/07/2026 18:13:41
35_surprise,g,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,2,0,8,0,surprise,26.634,05/07/2026 18:14:08
3_fear,o,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,3,3,0,0,6,0,surprise,40.432,05/07/2026 18:14:48
4_happy,l,True,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,5,0,0,0,happy,17.416,05/07/2026 18:15:06
5_neutral,g,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,1,0,0,0,4,0,0,sad,22.535,05/07/2026 18:15:28
6_sad,b,False,006,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_6,0,0,0,0,4,0,0,sad,23.332,05/07/2026 18:15:51
