img_id,ambiguous,source,version,version_name,cosine_to_original,mean_absolute_change,entropy_change
10_fear,False,Humans (version-specific),b,Blur,0.8967573392789115,0.06581632653061224,0.017691255689347263
10_fear,False,Humans (version-specific),g,Greyscale,0.8912989451569975,0.07661290322580647,0.1309752645494221
10_fear,False,Humans (version-specific),l,Low resolution,0.9301712221025787,0.057432432432432436,0.05550283772344666
11_happy,False,Humans (version-specific),b,Blur,0.9976688556761635,0.015971606033717837,0.01098318242377011
11_happy,False,Humans (version-specific),g,Greyscale,0.9917543952226795,0.04081632653061224,-0.15962818267205858
11_happy,False,Humans (version-specific),l,Low resolution,0.9252915127470067,0.0748299319727891,0.0654587388189346
12_neutral,True,Humans (version-specific),b,Blur,0.7851505166501869,0.09693877551020409,-0.007780804031804256
12_neutral,True,Humans (version-specific),g,Greyscale,0.7036672182012486,0.11337868480725624,-0.042118867571940166
12_neutral,True,Humans (version-specific),l,Low resolution,0.6228876399720361,0.13976499690785404,-0.16313144300815796
13_sad,False,Humans (version-specific),b,Blur,0.9841356626102458,0.05714285714285714,-0.3263278919883925
13_sad,False,Humans (version-specific),g,Greyscale,0.9822191356451218,0.05714285714285714,-0.2113595435400108
13_sad,False,Humans (version-specific),l,Low resolution,0.9547518322068866,0.05714285714285715,-0.06917191601431188
14_surprise,False,Humans (version-specific),b,Blur,0.950895129832262,0.07482993197278913,-0.3579810935964448
14_surprise,False,Humans (version-specific),g,Greyscale,0.9808076838782045,0.04021164021164022,-0.043533079427528154
14_surprise,False,Humans (version-specific),l,Low resolution,0.9345129177312935,0.09523809523809525,-0.4279067310422189
15_angry,True,Humans (version-specific),b,Blur,0.984326938334566,0.030075187969924817,-0.09820973319565002
15_angry,True,Humans (version-specific),g,Greyscale,0.9789148135441657,0.05931495405179616,-0.27693123768610095
15_angry,True,Humans (version-specific),l,Low resolution,0.9349386662747141,0.08599624060150377,0.21598239864227065
16_disgust,False,Humans (version-specific),b,Blur,0.8741572761215378,0.1020408163265306,-0.33493661641523553
16_disgust,False,Humans (version-specific),g,Greyscale,0.8831177731112325,0.09105180533751962,0.06261777576862776
16_disgust,False,Humans (version-specific),l,Low resolution,0.8698189998335926,0.10204081632653061,-0.17838463096147203
