img_id,version,version_name,ambiguous,assigned_category,r_id,directory,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthPucker,noseSneerLeft,noseSneerRight,cheekSquintLeft,cheekSquintRight,human_pooled_reference_angry,human_pooled_reference_disgust,human_pooled_reference_fear,human_pooled_reference_happy,human_pooled_reference_sad,human_pooled_reference_surprise,human_pooled_reference_neutral,fer_angry,fer_disgust,fer_fear,fer_happy,fer_sad,fer_surprise,fer_neutral,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_sad,deepface_surprise,deepface_neutral,deepface_human_similarity,fer_human_similarity
10_fear,b,Blur,False,fear,mediapipe,Modified_images,0.0001,0.0001,0.8636,0.6767,0.4355,0.0619,0.0305,0.0608,0.1211,0.0881,0.0023,0.0026,0.1538,0.1479,0.0031,0.0,0.0,0.0,0.0,0.025210084033613446,0.33613445378151263,0.31932773109243695,0.0,0.04201680672268908,0.2773109243697479,0.0,0.18181818181818182,0.0,0.5252525252525253,0.0,0.07070707070707072,0.22222222222222224,0.0,0.3121505850716725,0.0001242548846938087,0.18332316737352294,0.00022694824111296313,0.007167118780141596,0.4664013795039995,0.03060654614485662,0.6114047241057421,0.7245395540034949
10_fear,g,Greyscale,False,fear,mediapipe,Modified_images,0.0001,0.0001,0.8321,0.4878,0.2738,0.0459,0.0275,0.1262,0.2729,0.0788,0.0006,0.0007,0.2488,0.2529,0.0085,0.0,0.0,0.0,0.0,0.025210084033613446,0.33613445378151263,0.31932773109243695,0.0,0.04201680672268908,0.2773109243697479,0.0,0.18181818181818182,0.0,0.5959595959595959,0.0,0.04040404040404041,0.18181818181818182,0.0,0.0016702418130677414,8.419203656475531e-09,0.7685406704645175,3.343605419607232e-05,1.582108882215821e-05,0.2297301440863837,9.678073809116367e-06,0.7105175800877132,0.7001949453663004
10_fear,l,Low resolution,False,fear,mediapipe,Modified_images,0.0001,0.0002,0.7535,0.5429,0.2964,0.11,0.0611,0.0376,0.0805,0.0171,0.0024,0.0036,0.1155,0.1021,0.001,0.0,0.0,0.0,0.0,0.025210084033613446,0.33613445378151263,0.31932773109243695,0.0,0.04201680672268908,0.2773109243697479,0.0,0.31313131313131304,0.0,0.5555555555555555,0.0,0.060606060606060594,0.0707070707070707,0.0,0.1734439512173739,0.0009283218743113424,0.46605629842689184,0.0005853009990715013,0.003037761542365191,0.3528312005365811,0.0031171654034050996,0.7602995061836345,0.5933881923203916
10_fear,o,Original,False,fear,mediapipe,Modified_images,0.0001,0.0001,0.8425,0.4979,0.2728,0.0445,0.0331,0.1178,0.2278,0.0809,0.0009,0.0008,0.266,0.2787,0.008,0.0,0.0,0.0,0.0,0.025210084033613446,0.33613445378151263,0.31932773109243695,0.0,0.04201680672268908,0.2773109243697479,0.0,0.18181818181818182,0.0,0.5959595959595959,0.0,0.04040404040404041,0.18181818181818182,0.0,0.0015595708198397928,7.938112587557995e-09,0.7625947188732751,3.391440343850957e-05,1.4754274529398043e-05,0.23578857473321202,8.458957592567879e-06,0.7135013545283221,0.7001949453663004
11_happy,b,Blur,False,happy,mediapipe,Modified_images,0.0461,0.0461,0.1519,0.0447,0.0304,0.4963,0.5182,0.0026,0.0019,0.0136,0.7987,0.8485,0.0207,0.0131,0.0156,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.8472222222222222,0.027777777777777776,0.09722222222222222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00020700992943006337,6.945128362425696e-07,0.0011146117490617928,0.995044114275268,0.00017721396616734569,6.216650230469674e-05,0.003394189064931854,0.9927185370691524,0.992690446228782
11_happy,g,Greyscale,False,happy,mediapipe,Modified_images,0.0393,0.0426,0.1021,0.0612,0.0374,0.5511,0.5034,0.0031,0.003,0.0152,0.814,0.8389,0.0144,0.01,0.0084,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.8472222222222222,0.027777777777777776,0.09722222222222222,0.0,0.020202020202020204,0.0,0.0,0.9797979797979798,0.0,0.0,0.0,0.00014768479700295783,1.0637182660785624e-08,0.000211194535365562,0.9945289465076222,2.3529857506565837e-05,3.357586310612914e-05,0.005055057802213823,0.9926880771104388,0.9928149719103412
11_happy,l,Low resolution,False,happy,mediapipe,Modified_images,0.0239,0.0454,0.1656,0.0398,0.022,0.4187,0.5263,0.005,0.0063,0.0129,0.7522,0.7761,0.1157,0.1026,0.0075,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.8472222222222222,0.027777777777777776,0.09722222222222222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01231894986455792,1.9020688889701957e-06,0.008195998579215583,0.9701320444382387,0.00032538782657974145,0.00054593998324485,0.008479777239274343,0.9929559756141012,0.992690446228782
11_happy,o,Original,False,happy,mediapipe,Modified_images,0.0445,0.047,0.0883,0.0524,0.0342,0.5533,0.5604,0.0033,0.003,0.0131,0.7947,0.8328,0.0238,0.0158,0.0063,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.8472222222222222,0.027777777777777776,0.09722222222222222,0.0,0.020202020202020204,0.0,0.0,0.9797979797979798,0.0,0.0,0.0,0.00016544910406816646,1.2454521702728342e-08,0.000231679627921585,0.994329618910318,2.6542840383186273e-05,3.592078019822941e-05,0.005210776282589163,0.992688257314613,0.9928149719103412
12_neutral,b,Blur,True,neutral,mediapipe,Modified_images,0.0047,0.0027,0.0328,0.4503,0.3988,0.2466,0.2564,0.0036,0.0027,0.0005,0.0004,0.0002,0.0013,0.002,0.3029,0.0,0.0,0.0,0.0,0.38461538461538464,0.16923076923076924,0.0,0.0,0.06153846153846154,0.0,0.38461538461538464,0.0297029702970297,0.019801980198019802,0.0891089108910891,0.0,0.0891089108910891,0.0,0.7722772277227723,0.10868445866271337,0.006458259679342366,0.41811546886427287,0.0022558390017737052,0.15617854592166475,0.00139560817190536,0.3069118196983274,0.538744209406288,0.7069660582585919
12_neutral,g,Greyscale,True,neutral,mediapipe,Modified_images,0.0074,0.006,0.0245,0.3541,0.2544,0.2776,0.3031,0.0035,0.0028,0.0003,0.0012,0.0007,0.0038,0.0058,0.2328,0.0,0.0,0.0,0.0,0.38461538461538464,0.16923076923076924,0.0,0.0,0.06153846153846154,0.0,0.38461538461538464,0.05,0.05,0.06,0.0,0.16,0.0,0.68,0.047346837890105006,3.466489948327172e-05,0.07199479650399677,4.912055017624831e-05,0.1348341854462203,0.00018922466580453403,0.7455511700442139,0.7170161286471382,0.7407210256544042
12_neutral,l,Low resolution,True,neutral,mediapipe,Modified_images,0.0081,0.006,0.0415,0.2563,0.2049,0.3305,0.2879,0.0026,0.0016,0.0002,0.0029,0.0019,0.0032,0.0034,0.1262,0.0,0.0,0.0,0.0,0.38461538461538464,0.16923076923076924,0.0,0.0,0.06153846153846154,0.0,0.38461538461538464,0.039603960396039604,0.039603960396039604,0.0891089108910891,0.0,0.25742574257425743,0.0,0.5742574257425742,0.09342008884310134,0.0003859652520143117,0.31440118140958484,0.0013547305796240195,0.20047345875925712,0.0007771176797615735,0.38918745747665684,0.6317995424739559,0.7074870418056646
12_neutral,o,Original,True,neutral,mediapipe,Modified_images,0.0062,0.0041,0.0404,0.3649,0.3045,0.3097,0.3047,0.003,0.0026,0.0003,0.0007,0.0003,0.0025,0.0045,0.4189,0.0,0.0,0.0,0.0,0.38461538461538464,0.16923076923076924,0.0,0.0,0.06153846153846154,0.0,0.38461538461538464,0.05,0.05,0.06,0.0,0.16,0.0,0.68,0.0463999133116352,3.34597250148307e-05,0.07010955482736556,4.916825780513415e-05,0.13306124810724634,0.00018602861177138296,0.7501606271591615,0.7162656134822347,0.7407210256544042
13_sad,b,Blur,False,sad,mediapipe,Modified_images,0.0097,0.0033,0.2147,0.2278,0.2381,0.28,0.1899,0.0049,0.0029,0.0029,0.0,0.0,0.0068,0.0059,0.3761,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.06493506493506493,0.0,0.8571428571428571,0.012987012987012988,0.025974025974025976,0.17171717171717174,0.0,0.020202020202020204,0.0,0.30303030303030304,0.0,0.5050505050505051,0.000708704523348192,5.311062249310617e-09,0.00020096685527348768,2.1278566793116285e-07,0.5116863075463984,1.2477670590331743e-08,0.4874037905005792,0.7417331329996588,0.5314318433774091
