img_id,version,ambiguous,angry,disgust,fear,happy,sad,surprise,neutral,n_ratings,version_name,assigned_category,dominant_emotion,entropy,source
32_happy,o,False,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.3076923076923077,2.0,Original,happy,happy,0.3171995223057939,Humans (version-specific)
33_neutral,b,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Blur,neutral,neutral,-0.0,Humans (version-specific)
33_neutral,g,False,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,0.0,0.6923076923076923,2.0,Greyscale,neutral,neutral,0.4268017337236469,Humans (version-specific)
33_neutral,l,False,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.8695652173913043,2.0,Low resolution,neutral,neutral,0.1989877977533247,Humans (version-specific)
33_neutral,o,False,0.0,0.0625,0.0,0.0,0.0,0.0,0.9375,2.0,Original,neutral,neutral,0.12014514586912392,Humans (version-specific)
34_sad,b,False,0.0,0.1,0.05,0.0,0.7,0.15,0.0,2.0,Blur,sad,sad,0.4698498447685058,Humans (version-specific)
34_sad,g,False,0.1724137931034483,0.3448275862068966,0.0,0.0,0.4827586206896552,0.0,0.0,2.0,Greyscale,sad,sad,0.5250931032021996,Humans (version-specific)
34_sad,l,False,0.2,0.0,0.0,0.0,0.72,0.08,0.0,2.0,Low resolution,sad,sad,0.39080365690087665,Humans (version-specific)
34_sad,o,False,0.13333333333333333,0.26666666666666666,0.03333333333333333,0.0,0.5666666666666667,0.0,0.0,2.0,Original,sad,sad,0.5428579669754307,Humans (version-specific)
35_surprise,b,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Blur,surprise,surprise,-0.0,Humans (version-specific)
35_surprise,g,False,0.0,0.0,0.047619047619047616,0.09523809523809523,0.0,0.8571428571428571,0.0,2.0,Greyscale,surprise,surprise,0.25748717843027913,Humans (version-specific)
35_surprise,l,False,0.0,0.0,0.09090909090909091,0.0,0.0,0.9090909090909091,0.0,2.0,Low resolution,surprise,surprise,0.1565519854537635,Humans (version-specific)
35_surprised,o,False,,,,,,,,,Original,surprised,,,Humans (version-specific)
3_fear,b,False,0.02564102564102564,0.1282051282051282,0.3076923076923077,0.0,0.07692307692307693,0.46153846153846156,0.0,2.0,Blur,fear,surprise,0.6547632321922391,Humans (version-specific)
3_fear,g,False,0.0,0.0,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,2.0,Greyscale,fear,surprise,0.22062838931131581,Humans (version-specific)
3_fear,l,False,0.08823529411764706,0.0,0.5588235294117647,0.0,0.0,0.35294117647058826,0.0,2.0,Low resolution,fear,fear,0.4660937134088402,Humans (version-specific)
3_fear,o,False,0.0,0.10344827586206896,0.4482758620689655,0.0,0.0,0.4482758620689655,0.0,2.0,Original,fear,fear,0.49027778316867104,Humans (version-specific)
4_happy,b,True,0.23076923076923078,0.38461538461538464,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,2.0,Blur,happy,disgust,0.6846384572716792,Humans (version-specific)
4_happy,g,True,0.0,0.34615384615384615,0.0,0.11538461538461539,0.19230769230769232,0.07692307692307693,0.2692307692307692,2.0,Greyscale,happy,disgust,0.7626408922438708,Humans (version-specific)
4_happy,l,True,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.13333333333333333,2.0,Low resolution,happy,happy,0.20179475779916406,Humans (version-specific)
4_happy,o,True,0.0,0.125,0.041666666666666664,0.2916666666666667,0.16666666666666666,0.020833333333333332,0.3541666666666667,3.0,Original,happy,neutral,0.7701391426976181,Humans (version-specific)
5_neutral,b,False,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.4666666666666667,2.0,Blur,neutral,sad,0.3550643433609936,Humans (version-specific)
5_neutral,g,False,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3888888888888889,2.0,Greyscale,neutral,neutral,0.7649010692453477,Humans (version-specific)
5_neutral,l,False,0.0,0.07407407407407407,0.037037037037037035,0.0,0.4444444444444444,0.0,0.4444444444444444,2.0,Low resolution,neutral,sad,0.5322376883575158,Humans (version-specific)
5_neutral,o,False,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,2.0,Original,neutral,neutral,0.12586913476634173,Humans (version-specific)
6_sad,b,False,0.0,0.0,0.0,0.0,0.75,0.0,0.25,2.0,Blur,sad,sad,0.28898309867585964,Humans (version-specific)
6_sad,g,False,0.0,0.06896551724137931,0.3448275862068966,0.0,0.4482758620689655,0.0,0.13793103448275862,2.0,Greyscale,sad,sad,0.6087022144216043,Humans (version-specific)
6_sad,l,False,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.29411764705882354,2.0,Low resolution,sad,sad,0.31131833073916704,Humans (version-specific)
6_sad,o,False,0.0,0.0,0.21428571428571427,0.0,0.6428571428571429,0.0,0.14285714285714285,1.0,Original,sad,sad,0.45845789501222095,Humans (version-specific)
7_surprise,b,True,0.08695652173913043,0.0,0.34782608695652173,0.0,0.043478260869565216,0.5217391304347826,0.0,2.0,Blur,surprise,surprise,0.542400942508798,Humans (version-specific)
7_surprise,g,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Greyscale,surprise,surprise,-0.0,Humans (version-specific)
7_surprise,l,True,0.0,0.0,0.4666666666666667,0.0,0.06666666666666667,0.2,0.26666666666666666,1.0,Low resolution,surprise,fear,0.6221036694655013,Humans (version-specific)
7_surprise,o,True,0.043478260869565216,0.0,0.043478260869565216,0.0,0.08695652173913043,0.391304347826087,0.43478260869565216,2.0,Original,surprise,neutral,0.6240334708702852,Humans (version-specific)
8_angry,b,False,0.8,0.2,0.0,0.0,0.0,0.0,0.0,2.0,Blur,angry,angry,0.25715597597408063,Humans (version-specific)
8_angry,g,False,0.4,0.1,0.0,0.0,0.5,0.0,0.0,1.0,Greyscale,angry,sad,0.48478517509506247,Humans (version-specific)
8_angry,l,False,0.46153846153846156,0.15384615384615385,0.10256410256410256,0.0,0.2564102564102564,0.02564102564102564,0.0,2.0,Low resolution,angry,angry,0.6790129226985887,Humans (version-specific)
8_angry,o,False,0.5666666666666667,0.1,0.13333333333333333,0.0,0.2,0.0,0.0,2.0,Original,angry,angry,0.58720976902417,Humans (version-specific)
9_disgust,b,False,0.17647058823529413,0.4117647058823529,0.0,0.0,0.058823529411764705,0.35294117647058826,0.0,1.0,Blur,disgust,disgust,0.6196060864356212,Humans (version-specific)
9_disgust,g,False,0.14285714285714285,0.5357142857142857,0.07142857142857142,0.0,0.07142857142857142,0.17857142857142858,0.0,2.0,Greyscale,disgust,disgust,0.6665264719646771,Humans (version-specific)
9_disgust,l,False,0.08333333333333333,0.3333333333333333,0.19444444444444445,0.0,0.027777777777777776,0.3611111111111111,0.0,2.0,Low resolution,disgust,surprise,0.6984200006231992,Humans (version-specific)
9_disgust,o,False,0.34615384615384615,0.5769230769230769,0.0,0.0,0.0,0.07692307692307693,0.0,2.0,Original,disgust,disgust,0.4531880013934048,Humans (version-specific)
