mediapipe_feature,target,n,pearson_correlation
browOuterUpRight,human_pooled_reference_neutral,139,-0.1083712545952805
browOuterUpRight,fer_angry,130,-0.3499106198227417
browOuterUpRight,fer_disgust,130,-0.10167596395895971
browOuterUpRight,fer_fear,130,0.22181325480645833
browOuterUpRight,fer_happy,130,0.10713280746207085
browOuterUpRight,fer_sad,130,-0.19682994944057178
browOuterUpRight,fer_surprise,130,0.498444731947114
browOuterUpRight,fer_neutral,130,-0.11889844304128146
browOuterUpRight,deepface_angry,140,-0.2873640269763647
browOuterUpRight,deepface_disgust,140,-0.10134188619204797
browOuterUpRight,deepface_fear,140,0.3145436664489213
browOuterUpRight,deepface_happy,140,0.260436897446746
browOuterUpRight,deepface_sad,140,-0.22305206112660758
browOuterUpRight,deepface_surprise,140,0.20604798101030453
browOuterUpRight,deepface_neutral,140,-0.14648190696414223
browOuterUpRight,deepface_human_similarity,139,-0.13675640971630798
browOuterUpRight,fer_human_similarity,130,0.00417314453615693
eyeSquintLeft,human_pooled_reference_angry,139,0.2957208269315082
eyeSquintLeft,human_pooled_reference_disgust,139,0.13917655346845065
eyeSquintLeft,human_pooled_reference_fear,139,-0.42064219844820105
eyeSquintLeft,human_pooled_reference_happy,139,0.3329049269662417
eyeSquintLeft,human_pooled_reference_sad,139,0.026497785986733007
eyeSquintLeft,human_pooled_reference_surprise,139,-0.6101676933276352
eyeSquintLeft,human_pooled_reference_neutral,139,0.122854330095106
eyeSquintLeft,fer_angry,130,0.3395143439783219
eyeSquintLeft,fer_disgust,130,0.10674729850468875
eyeSquintLeft,fer_fear,130,-0.4697105183797553
eyeSquintLeft,fer_happy,130,0.11746622110934439
eyeSquintLeft,fer_sad,130,0.19695809598374636
eyeSquintLeft,fer_surprise,130,-0.5507040880681209
eyeSquintLeft,fer_neutral,130,0.1452168051224452
eyeSquintLeft,deepface_angry,140,0.3335259962044525
eyeSquintLeft,deepface_disgust,140,0.12129448647773065
eyeSquintLeft,deepface_fear,140,-0.39058817647789756
eyeSquintLeft,deepface_happy,140,0.1372873557529322
eyeSquintLeft,deepface_sad,140,-0.03370752305540205
eyeSquintLeft,deepface_surprise,140,-0.4084762910642923
eyeSquintLeft,deepface_neutral,140,0.18435636882079467
eyeSquintLeft,deepface_human_similarity,139,0.19897690122693243
eyeSquintLeft,fer_human_similarity,130,-0.0426513605665801
eyeSquintRight,human_pooled_reference_angry,139,0.2929115207444787
eyeSquintRight,human_pooled_reference_disgust,139,0.28804595526662435
eyeSquintRight,human_pooled_reference_fear,139,-0.44998903460247663
eyeSquintRight,human_pooled_reference_happy,139,0.3172552025999856
eyeSquintRight,human_pooled_reference_sad,139,0.06118156349254775
eyeSquintRight,human_pooled_reference_surprise,139,-0.5476368648060218
eyeSquintRight,human_pooled_reference_neutral,139,-0.08225954364427755
eyeSquintRight,fer_angry,130,0.41107133560441883
eyeSquintRight,fer_disgust,130,0.3190575794792334
eyeSquintRight,fer_fear,130,-0.497271188245115
eyeSquintRight,fer_happy,130,0.19624429222994377
eyeSquintRight,fer_sad,130,0.09221167115301446
eyeSquintRight,fer_surprise,130,-0.5016706952456226
eyeSquintRight,fer_neutral,130,0.040329844316853776
eyeSquintRight,deepface_angry,140,0.403172170714197
eyeSquintRight,deepface_disgust,140,0.24241540887649393
eyeSquintRight,deepface_fear,140,-0.3872183773016589
eyeSquintRight,deepface_happy,140,0.19130283214773583
eyeSquintRight,deepface_sad,140,-0.06755843950141735
eyeSquintRight,deepface_surprise,140,-0.4135716456427984
eyeSquintRight,deepface_neutral,140,0.09261045787880007
eyeSquintRight,deepface_human_similarity,139,0.14442268771778846
eyeSquintRight,fer_human_similarity,130,-0.12798982186226365
eyeWideLeft,human_pooled_reference_angry,139,-0.22360312211650682
eyeWideLeft,human_pooled_reference_disgust,139,-0.17892840254827724
eyeWideLeft,human_pooled_reference_fear,139,0.27354037292291605
eyeWideLeft,human_pooled_reference_happy,139,-0.11779262810874302
eyeWideLeft,human_pooled_reference_sad,139,-0.2527303390315788
eyeWideLeft,human_pooled_reference_surprise,139,0.789824587842762
eyeWideLeft,human_pooled_reference_neutral,139,-0.24318380848077928
eyeWideLeft,fer_angry,130,-0.2337603182361276
eyeWideLeft,fer_disgust,130,-0.13461767223142906
eyeWideLeft,fer_fear,130,0.3111427402089967
eyeWideLeft,fer_happy,130,-0.17075896172142344
eyeWideLeft,fer_sad,130,-0.2744830627462803
eyeWideLeft,fer_surprise,130,0.838721501286275
eyeWideLeft,fer_neutral,130,-0.30088558875950133
eyeWideLeft,deepface_angry,140,-0.2161225426126894
eyeWideLeft,deepface_disgust,140,-0.07000633799660155
eyeWideLeft,deepface_fear,140,0.168117541002242
eyeWideLeft,deepface_happy,140,0.049887143664765016
eyeWideLeft,deepface_sad,140,-0.16967400354410797
eyeWideLeft,deepface_surprise,140,0.5609322221162519
eyeWideLeft,deepface_neutral,140,-0.2644266054585688
eyeWideLeft,deepface_human_similarity,139,0.08812774716439822
eyeWideLeft,fer_human_similarity,130,0.25853806152178793
eyeWideRight,human_pooled_reference_angry,139,-0.2765314660485188
eyeWideRight,human_pooled_reference_disgust,139,-0.1777929762844987
eyeWideRight,human_pooled_reference_fear,139,0.3008298510513132
eyeWideRight,human_pooled_reference_happy,139,-0.09903832863394538
eyeWideRight,human_pooled_reference_sad,139,-0.29091373325156694
eyeWideRight,human_pooled_reference_surprise,139,0.8446757811782266
eyeWideRight,human_pooled_reference_neutral,139,-0.24183672581727303
eyeWideRight,fer_angry,130,-0.24238829636765333
eyeWideRight,fer_disgust,130,-0.15219250196668485
eyeWideRight,fer_fear,130,0.3668530654869357
eyeWideRight,fer_happy,130,-0.13654469827909804
eyeWideRight,fer_sad,130,-0.27878396483509554
eyeWideRight,fer_surprise,130,0.7346091431826938
eyeWideRight,fer_neutral,130,-0.26290645006421004
eyeWideRight,deepface_angry,140,-0.2347812544506706
eyeWideRight,deepface_disgust,140,-0.08000959085316599
eyeWideRight,deepface_fear,140,0.30109788108239643
eyeWideRight,deepface_happy,140,-0.029912785835691
eyeWideRight,deepface_sad,140,-0.08437717030362196
eyeWideRight,deepface_surprise,140,0.5636722439171101
eyeWideRight,deepface_neutral,140,-0.33531137578003956
eyeWideRight,deepface_human_similarity,139,0.01590115167489287
eyeWideRight,fer_human_similarity,130,0.13674507188497415
jawOpen,human_pooled_reference_angry,139,-0.05521236962305688
jawOpen,human_pooled_reference_disgust,139,-0.12776013020390095
jawOpen,human_pooled_reference_fear,139,0.2387032449785034
jawOpen,human_pooled_reference_happy,139,-0.1170892775523491
jawOpen,human_pooled_reference_sad,139,-0.26306639039771046
jawOpen,human_pooled_reference_surprise,139,0.6596800902479364
jawOpen,human_pooled_reference_neutral,139,-0.2893414431128704
jawOpen,fer_angry,130,0.010562005975098427
jawOpen,fer_disgust,130,-0.03185411754180255
jawOpen,fer_fear,130,0.03148400015136346
jawOpen,fer_happy,130,-0.17690847606636997
jawOpen,fer_sad,130,-0.28205996739851363
jawOpen,fer_surprise,130,0.7970070842255195
jawOpen,fer_neutral,130,-0.34749649957829626
jawOpen,deepface_angry,140,-0.017674371130458114
jawOpen,deepface_disgust,140,0.044053667642235485
jawOpen,deepface_fear,140,0.009670635444167026
jawOpen,deepface_happy,140,-0.11673692986927302
jawOpen,deepface_sad,140,-0.24112003290896886
jawOpen,deepface_surprise,140,0.7236590795348025
jawOpen,deepface_neutral,140,-0.2798570506954688
